Condition,Frequency,Block,TimingFile,TaskObject1,TaskObject2,TaskObject3,Position
155,1,2,FAC2_touch_v0,200,"pic(big01x1.4_05,10,0)","pic(s01_128_15,-10,0)",right
156,1,2,FAC2_touch_v0,200,"pic(big03x1.4_07,-10,0)","pic(s03_128_06,10,0)",left
157,1,2,FAC2_touch_v0,200,"pic(big02x1.4_09,-10,0)","pic(s02_128_07,10,0)",left
158,1,2,FAC2_touch_v0,200,"pic(big04x1.4_09,10,0)","pic(s04_128_02,-10,0)",right
159,1,2,FAC2_touch_v0,200,"pic(big03x1.4_04,-10,0)","pic(s03_128_11,10,0)",left
160,1,2,FAC2_touch_v0,200,"pic(big01x1.4_03,10,0)","pic(s01_128_07,-10,0)",right
161,1,2,FAC2_touch_v0,200,"pic(big02x1.4_09,10,0)","pic(s02_128_02,-10,0)",right
162,1,2,FAC2_touch_v0,200,"pic(big03x1.4_10,-10,0)","pic(s03_128_07,10,0)",left
163,1,2,FAC2_touch_v0,200,"pic(big01x1.4_05,-10,0)","pic(s01_128_08,10,0)",left
164,1,2,FAC2_touch_v0,200,"pic(big04x1.4_07,10,0)","pic(s04_128_08,-10,0)",right
165,1,2,FAC2_touch_v0,200,"pic(big02x1.4_12,-10,0)","pic(s02_128_12,10,0)",left
166,1,2,FAC2_touch_v0,200,"pic(big04x1.4_06,10,0)","pic(s04_128_10,-10,0)",right
167,1,2,FAC2_touch_v0,200,"pic(big01x1.4_09,10,0)","pic(s01_128_10,-10,0)",right
168,1,2,FAC2_touch_v0,200,"pic(big03x1.4_15,-10,0)","pic(s03_128_09,10,0)",left
169,1,2,FAC2_touch_v0,200,"pic(big04x1.4_13,10,0)","pic(s04_128_03,-10,0)",right
170,1,2,FAC2_touch_v0,200,"pic(big03x1.4_03,10,0)","pic(s03_128_08,-10,0)",right
171,1,2,FAC2_touch_v0,200,"pic(big02x1.4_03,-10,0)","pic(s02_128_05,10,0)",left
172,1,2,FAC2_touch_v0,200,"pic(big01x1.4_06,-10,0)","pic(s01_128_01,10,0)",left
173,1,2,FAC2_touch_v0,200,"pic(big01x1.4_11,-10,0)","pic(s01_128_11,10,0)",left
174,1,2,FAC2_touch_v0,200,"pic(big03x1.4_11,10,0)","pic(s03_128_05,-10,0)",right
175,1,2,FAC2_touch_v0,200,"pic(big02x1.4_06,10,0)","pic(s02_128_05,-10,0)",right
176,1,2,FAC2_touch_v0,200,"pic(big04x1.4_04,-10,0)","pic(s04_128_04,10,0)",left
177,1,2,FAC2_touch_v0,200,"pic(big03x1.4_04,10,0)","pic(s03_128_11,-10,0)",right
178,1,2,FAC2_touch_v0,200,"pic(big01x1.4_07,-10,0)","pic(s01_128_07,10,0)",left
179,1,2,FAC2_touch_v0,200,"pic(big04x1.4_06,-10,0)","pic(s04_128_10,10,0)",left
180,1,2,FAC2_touch_v0,200,"pic(big02x1.4_01,-10,0)","pic(s02_128_01,10,0)",left
181,1,2,FAC2_touch_v0,200,"pic(big04x1.4_16,-10,0)","pic(s04_128_13,10,0)",left
182,1,2,FAC2_touch_v0,200,"pic(big01x1.4_12,10,0)","pic(s01_128_01,-10,0)",right
183,1,2,FAC2_touch_v0,200,"pic(big03x1.4_06,-10,0)","pic(s03_128_13,10,0)",left
184,1,2,FAC2_touch_v0,200,"pic(big02x1.4_15,10,0)","pic(s02_128_16,-10,0)",right
185,1,2,FAC2_touch_v0,200,"pic(big03x1.4_02,-10,0)","pic(s03_128_02,10,0)",left
186,1,2,FAC2_touch_v0,200,"pic(big04x1.4_15,10,0)","pic(s04_128_07,-10,0)",right
187,1,2,FAC2_touch_v0,200,"pic(big01x1.4_06,10,0)","pic(s01_128_11,-10,0)",right
188,1,2,FAC2_touch_v0,200,"pic(big02x1.4_08,-10,0)","pic(s02_128_01,10,0)",left
189,1,2,FAC2_touch_v0,200,"pic(big04x1.4_05,10,0)","pic(s04_128_14,-10,0)",right
190,1,2,FAC2_touch_v0,200,"pic(big02x1.4_13,10,0)","pic(s02_128_09,-10,0)",right
191,1,2,FAC2_touch_v0,200,"pic(big01x1.4_11,10,0)","pic(s01_128_05,-10,0)",right
192,1,2,FAC2_touch_v0,200,"pic(big03x1.4_08,-10,0)","pic(s03_128_16,10,0)",left
193,1,2,FAC2_touch_v0,200,"pic(big01x1.4_14,-10,0)","pic(s01_128_04,10,0)",left
194,1,2,FAC2_touch_v0,200,"pic(big03x1.4_14,-10,0)","pic(s03_128_12,10,0)",left
195,1,2,FAC2_touch_v0,200,"pic(big02x1.4_01,10,0)","pic(s02_128_10,-10,0)",right
196,1,2,FAC2_touch_v0,200,"pic(big04x1.4_01,10,0)","pic(s04_128_15,-10,0)",right
197,1,2,FAC2_touch_v0,200,"pic(big04x1.4_03,-10,0)","pic(s04_128_06,10,0)",left
198,1,2,FAC2_touch_v0,200,"pic(big02x1.4_10,-10,0)","pic(s02_128_09,10,0)",left
199,1,2,FAC2_touch_v0,200,"pic(big01x1.4_16,10,0)","pic(s01_128_02,-10,0)",right
200,1,2,FAC2_touch_v0,200,"pic(big03x1.4_09,-10,0)","pic(s03_128_01,10,0)",left
201,1,2,FAC2_touch_v0,200,"pic(big04x1.4_14,-10,0)","pic(s04_128_02,10,0)",left
202,1,2,FAC2_touch_v0,200,"pic(big01x1.4_13,10,0)","pic(s01_128_04,-10,0)",right
203,1,2,FAC2_touch_v0,200,"pic(big02x1.4_07,-10,0)","pic(s02_128_16,10,0)",left
204,1,2,FAC2_touch_v0,200,"pic(big03x1.4_14,10,0)","pic(s03_128_13,-10,0)",right
205,1,2,FAC2_touch_v0,200,"pic(big02x1.4_14,10,0)","pic(s02_128_15,-10,0)",right
206,1,2,FAC2_touch_v0,200,"pic(big03x1.4_05,-10,0)","pic(s03_128_04,10,0)",left
207,1,2,FAC2_touch_v0,200,"pic(big01x1.4_09,-10,0)","pic(s01_128_15,10,0)",left
208,1,2,FAC2_touch_v0,200,"pic(big04x1.4_08,10,0)","pic(s04_128_01,-10,0)",right
209,1,2,FAC2_touch_v0,200,"pic(big02x1.4_02,-10,0)","pic(s02_128_03,10,0)",left
210,1,2,FAC2_touch_v0,200,"pic(big01x1.4_03,-10,0)","pic(s01_128_10,10,0)",left
211,1,2,FAC2_touch_v0,200,"pic(big04x1.4_13,-10,0)","pic(s04_128_16,10,0)",left
212,1,2,FAC2_touch_v0,200,"pic(big03x1.4_15,10,0)","pic(s03_128_09,-10,0)",right
213,1,2,FAC2_touch_v0,200,"pic(big04x1.4_11,10,0)","pic(s04_128_12,-10,0)",right
214,1,2,FAC2_touch_v0,200,"pic(big02x1.4_11,10,0)","pic(s02_128_07,-10,0)",right
215,1,2,FAC2_touch_v0,200,"pic(big03x1.4_01,-10,0)","pic(s03_128_14,10,0)",left
216,1,2,FAC2_touch_v0,200,"pic(big01x1.4_01,10,0)","pic(s01_128_14,-10,0)",right
217,1,2,FAC2_touch_v0,200,"pic(big04x1.4_10,10,0)","pic(s04_128_13,-10,0)",right
218,1,2,FAC2_touch_v0,200,"pic(big03x1.4_09,10,0)","pic(s03_128_01,-10,0)",right
219,1,2,FAC2_touch_v0,200,"pic(big01x1.4_02,-10,0)","pic(s01_128_12,10,0)",left
220,1,2,FAC2_touch_v0,200,"pic(big02x1.4_03,10,0)","pic(s02_128_04,-10,0)",right
221,1,2,FAC2_touch_v0,200,"pic(big04x1.4_02,10,0)","pic(s04_128_16,-10,0)",right
222,1,2,FAC2_touch_v0,200,"pic(big03x1.4_05,10,0)","pic(s03_128_14,-10,0)",right
223,1,2,FAC2_touch_v0,200,"pic(big01x1.4_01,-10,0)","pic(s01_128_06,10,0)",left
224,1,2,FAC2_touch_v0,200,"pic(big02x1.4_13,-10,0)","pic(s02_128_04,10,0)",left
225,1,2,FAC2_touch_v0,200,"pic(big04x1.4_15,10,0)","pic(s04_128_12,-10,0)",right
226,1,2,FAC2_touch_v0,200,"pic(big01x1.4_16,-10,0)","pic(s01_128_13,10,0)",left
227,1,2,FAC2_touch_v0,200,"pic(big02x1.4_05,-10,0)","pic(s02_128_11,10,0)",left
228,1,2,FAC2_touch_v0,200,"pic(big03x1.4_03,10,0)","pic(s03_128_15,-10,0)",right
229,1,2,FAC2_touch_v0,200,"pic(big04x1.4_10,-10,0)","pic(s04_128_15,10,0)",left
230,1,2,FAC2_touch_v0,200,"pic(big03x1.4_11,-10,0)","pic(s03_128_03,10,0)",left
231,1,2,FAC2_touch_v0,200,"pic(big02x1.4_07,10,0)","pic(s02_128_13,-10,0)",right
232,1,2,FAC2_touch_v0,200,"pic(big01x1.4_10,-10,0)","pic(s01_128_05,10,0)",left
233,1,2,FAC2_touch_v0,200,"pic(big02x1.4_10,10,0)","pic(s02_128_12,-10,0)",right
234,1,2,FAC2_touch_v0,200,"pic(big03x1.4_16,10,0)","pic(s03_128_15,-10,0)",right
235,1,2,FAC2_touch_v0,200,"pic(big04x1.4_01,-10,0)","pic(s04_128_09,10,0)",left
236,1,2,FAC2_touch_v0,200,"pic(big01x1.4_15,-10,0)","pic(s01_128_02,10,0)",left
237,1,2,FAC2_touch_v0,200,"pic(big01x1.4_14,10,0)","pic(s01_128_09,-10,0)",right
238,1,2,FAC2_touch_v0,200,"pic(big02x1.4_05,10,0)","pic(s02_128_11,-10,0)",right
239,1,2,FAC2_touch_v0,200,"pic(big04x1.4_16,10,0)","pic(s04_128_06,-10,0)",right
240,1,2,FAC2_touch_v0,200,"pic(big03x1.4_13,-10,0)","pic(s03_128_10,10,0)",left
241,1,2,FAC2_touch_v0,200,"pic(big04x1.4_09,-10,0)","pic(s04_128_01,10,0)",left
242,1,2,FAC2_touch_v0,200,"pic(big02x1.4_06,-10,0)","pic(s02_128_08,10,0)",left
243,1,2,FAC2_touch_v0,200,"pic(big01x1.4_07,10,0)","pic(s01_128_13,-10,0)",right
244,1,2,FAC2_touch_v0,200,"pic(big03x1.4_08,10,0)","pic(s03_128_12,-10,0)",right
245,1,2,FAC2_touch_v0,200,"pic(big03x1.4_13,10,0)","pic(s03_128_16,-10,0)",right
246,1,2,FAC2_touch_v0,200,"pic(big01x1.4_08,-10,0)","pic(s01_128_09,10,0)",left
247,1,2,FAC2_touch_v0,200,"pic(big04x1.4_12,10,0)","pic(s04_128_05,-10,0)",right
248,1,2,FAC2_touch_v0,200,"pic(big02x1.4_04,-10,0)","pic(s02_128_15,10,0)",left
249,1,2,FAC2_touch_v0,200,"pic(big04x1.4_07,-10,0)","pic(s04_128_11,10,0)",left
250,1,2,FAC2_touch_v0,200,"pic(big01x1.4_04,-10,0)","pic(s01_128_14,10,0)",left
251,1,2,FAC2_touch_v0,200,"pic(big02x1.4_12,10,0)","pic(s02_128_08,-10,0)",right
252,1,2,FAC2_touch_v0,200,"pic(big03x1.4_12,10,0)","pic(s03_128_07,-10,0)",right
253,1,2,FAC2_touch_v0,200,"pic(big01x1.4_12,-10,0)","pic(s01_128_03,10,0)",left
